Name,Type,Subtype,Prerequisite,Description,2024 Notes,Martial,Spellcasting,Mastery,Offensive,Defensive,Skill,Racial,Flavour,Exclusive,Prereq,Rest,Exploration,Roleplay,Movement,Meta,Piety
Bounce,Ingens,Weapon Mastery,"Exclusive, Small size","You get the benefits of the {@optfeature Push|ingensorenth} Orenth trait, but instead of pushing the creature, you can decide to push yourself 10 feet in a direction of your choice instead. This movement does not provoke opportunity attacks. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shield and Sword,Ingens,Weapon Mastery,Exclusive,"You get the benefits of the {@optfeature Flex|ingensorenth} Orenth trait. Additionally, while wearing a shield and using the weapon from your Flex Orenth trait you may add the shield's AC to the damage you deal with your Flex weapon. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Graze,Ingens,Weapon Mastery,{@optfeature Graze|ingensorenth} ,"Whenever you graze a creature you may apply damage bonuses such as sneak attack, smites and similar abilities that would trigger on a hit. ",Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Close Quarters Combat,Ingens,Weapon Mastery,{@optfeature Close Quarters Combat|ingensorenth} ,"The extra attack from your Close Quarters Combat Orenth trait no longer requires your bonus action or reaction, but you may still only use them once per turn. ",Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Charge,Ingens,Weapon Mastery,{@optfeature Charge|ingensorenth},You only need to move 10 feet to use your Charge Orenth trait ability and the extra damage you deal increases to 2d12. ,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Masterded: Nick,Ingens,Weapon Mastery,{@optfeature Nick|ingensorenth},"Whenever you use your Nick Orenth trait you can make two additional attacks instead of one. However, one of the attacks must deal just the weapon damage with no modifiers applied. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Strangle,Ingens,Weapon Mastery,{@optfeature Strangle|ingensorenth},After you successfully grapple a creature with your Strangle Orenth Trait they gain disadvantage on Constitution saving throws for the next minute. ,Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Bloody Wound,Ingens,Weapon Mastery,{@optfeature Bloody Wound|ingensorenth},The damage die for the bleeding damage becomes 1d6. Additionally the DC for the medicine check becomes 8+your proficiency bonus + the ability used for the weapon attack. ,Remove,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mixed Human Heritage,Ingens,,Human,You may pick one racial feat for which you don't meet the requirements that gives you an ability score improvement. You don't gain the ability score improvement from the feat. ,Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adaptive Feats,Ingens,,Human,Whenever you finish a long rest you may choose one feat of your choice and swap it out for a different one. You must meet the requirements for the replacement feat. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jack,Ingens,,Human,You gain a +1 bonus to ability checks you dont have proficiency in.,Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Stunning Question,Metallic,Brass,,"You pose such a profound philosophical question that you stun a creature._ 
As an action, you can target a creature that can hear you and that you share a language with. They must succeed on an Intelligence saving throw (DC = 8 + your proficiency bonus + your Charisma modifier). On a failure, they become stunned for one minute. They may repeat the saving throw at the end of their turns, ending the effect on a success. Uses: 1/Long rest",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Endurance Fighting,Metallic,Bronze,,"Whenever you deal damage to a creature, and afterwards the creature has more hit points than you, you gain a number of temporary hit points equal to your Constitution modifier. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shared Resistance,Metallic,Bronze,,Any creature of your choice within 15 feet of you shares any resistance you have. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Saving expert,Metallic,Bronze,,You may get expertise in saving throws. ,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bronze Saviour,Metallic,Bronze,,"Whenever a creature within 60 feet of you is about to hit a creature other than you, you may use your reaction to protect them before being struck down. You can give them a bonus to their AC equal to your Charisma modifier until the end of your next turn. Uses: Charisma/Long rest",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Purposeful Knight,Metallic,Gold,,You designate a creature that needs to be vanquished as a Bonus Action. Until it is dead or a minute has passed you gain hit points equal to your Charisma modifier at the start of each of your turns you start within 10 feet of them. Uses: 1/Long rest,Wait just pick an ally,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Platinum Rest,Metallic,Platinum,10+ piety with Bahamut,Whenever you take a short rest you may choose two Metallic Rest Orenth effects to apply to you. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Frozen Strikes,Metallic,Silver,Exclusive,"You get the benefits of the {@optfeature Slow|ingensorenth} Orenth trait, with the following change: There is no more limit to how much you can decrease a creature's speed. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Exalting Breath,Metallic,Silver,Silver Dragonborn ,"Whenever you use your breath weapon, you may choose any creature in the area that regains hit points equal to the damage dealt, instead of taking damage. ",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
No Escape,Metallic,Gold,,As a reaction to a creature leaving your reach you can choose to move with them as far as your movement allows. ,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hands of Supreme Healing,Metallic,,{@optfeature Hands of Superior Healing|metallicorenth},You may roll d12s instead of d8s whenever you use your Healing Hands ability. Additionally you can use this trait thrice per short rest instead of once per long rest. ,Change with improved healing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Celestial Body,Metallic,,,You become immune to the effects of curses that can be removed with the remove curse spell. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Metallic Resistance,Metallic,,,"You gain resistance to fire, cold, lightning, acid or radiant damage. Additionally, whenever you take this type of damage, the creature that dealt the damage takes the same damage. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shoveling Hands,Other,,Kobold with ancestry of a dragon that can dig,"Like the dragon you take after, you’ve got a knack for digging. You get a burrow speed equal to half your walking speed. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Flexible Orenth,Other,,Kobold,You may use any ability score to determine your save DC and number of times you can use an orenth trait. You also gain an additional use for any trait that recharges after a long rest. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dissuading Words,Metallic,Weapon Mastery,Exclusive,You gain the benefits of the {@optfeature Sap|ingengsorenth} Orenth trait. Additionally after you hit a creature they also have disadvantage on their next Wisdom Saving Throw. ,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
School Mastered: Enchantment,Cosmic,Spell Mastery,Spell mastery with an Enchantment school spell.,Creatures no longer have advantage on saving throws against your enchantment spells if you are currently fighting them. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Summer Solstice,Ingens,,,"The summer solstice marks the longest day of the year, but also the day where the night start to grow longer._ 
Over the course of a round keep track of the total number of hit points that were regained. For the purposes of this trait a round starts after your turn has ended. On your turn, when you deal damage to a creature you may deal additional radiant damage equal to the amount of hit points regained. You may use this trait a number of times equal to your Constitution modifier, and regain all uses after a long rest.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Winter Solstice,Ingens,,,"The Winter solstice marks the shortest day and longest night of the year, but also the day that the nights start to become shorter again._
Over the course of a round keep track of the number of damage dice that were rolled. For the purposes of this trait a round starts after your turn has ended. On your turn, you may use your bonus action to heal a creature within 60 feet of you for a number of hit points equal to that amount. You may use this trait a number of times equal to your Constitution modifier and regain all uses after a long rest. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Giving Thanks,Ingens,,,"Whenever another creature gives you hitpoints, you may use your reaction to thank them. Until the end of their next turn they gain advantage on d20 checks. Uses: 1/Short rest",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Golden Recovery,Chromatic,Spell Recovery,,"During a short rest you may consume goldpieces to recover a spellslot. The spellslot level is equal to the amount of gold a spellscroll of that level would cost, to a maximum of 5. ",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Powerful Recovery,Other,Spell Recovery,,Choose a tier 1 Orenth trait that gives you a first level spellslot back. You may instead get a third level spellslot back. The orenth type of this trait is the same as the tier 1 trait you choose.  You cannot choose the same tier 1 trait in this way twice.,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Concentrated,Gem,Spell Mastery,Exclusive,"Choose a spell that requires concentration. Whenever you need to make a Constitution saving throw to keep concentrating on this spell, you may add your spellcasting ability modifier to the save. ",,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Must have been the wind,Ingens,Little Folk,{@optfeature Where did that come from|ingensorenth},"If you make an attack roll while hidden and miss, you don't lose the Hidden condition. ",,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Gem Ancestry,Gem,,Bugbear or Hobgoblin,"You have advantage on Intelligence, Wisdom and Charisma saving throws made against Spells. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Suprise Spellcasting,Gem,Amethyst,Bugbear,"If a creature fails a saving throw against a spell you cast and takes damage, the creature takes an extra 2d6 of the spells damage if they haven't taken a turn yet in the current combat. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Locked Wings,Chromatic,Wind,Aarakocra,"Your flying speed increases by 5 feet. Additionally, while flying you may dash as a bonus action, but when you dash in this way you can only move in a straight line on that turn. You cannot gain levels of exhaustion from dashing in this way. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Holy Hooves,Metallic,Platinum,Centaur,"Your hooves are considered Heavy, two-handed weapons. Additionaly, whenever you hit a creature with your hooves you may add 1d4 radiant damage to the hit. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mental Shapechanger,Fey,,Changeling,"Whenever you change into a different race, you also learn to speak and understand the language most commonly spoken by that race while you remain shapechanged. ",Lower tier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cosmic Magic Resistance,Cosmic,,Deep Gnome,You have advantage on saving throws against spells. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cosmically Infused,Cosmic,,Duergar,"Your creature type becomes abberation. Additionally you gain advantage on Intelligence, Wisdom, and Charisma saving throws against spells. ",,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Quick Rebuttal,Metallic,Weapon Mastery,Exclusive,"You gain the benefits of the {@optfeature Lock Blades|ingensorenth} Orenth trait. Additionally, whenever you beat the attacker's attack roll by more than 5 you may deal damage to them equal to the ability score modifier used to parry the attack. The damage type is that of your weapon. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alloy Breath,Metallic,Bronze,Bronze Dragonborn,"Additional Breath Weapon* You gain an additional use of your breath weapon. 
Charged Weapon* Whenever you use your breath weapon you may cover a weapon you are holding in a metallic alloy. Until the end your next turn you deal an additional 1d6 lightning damage whenever you hit with an attack with that weapon.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Serpent Tail,Ingens,Oceanic,,On your turn you may create and lash out with a spectral serpent tail as a bonus action. The tail makes an attack roll against a creature you can see within 30 feet (Attack bonus = your proficiency bonus + your Strenght modifier). On a hit they take 2d6 plus your strength modifier in bludgeoning damage. ,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Snapping Turtle,Ingens,Oceanic,,Whenever you make an opportunity attack you may instead summon a snapping turtle jaw. The jaw makes attack roll against the creature (Attack bonus = your proficiency bonus + your Strength modifier). On a hit it deals 2d6 plus your Strength modifier in piercing damage and you grapple them.,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Source of Orenth,Ingens,,,As a travelling activity you may focus on the orenth of the area you are travelling through. Make a Wisdom (Survival) check (DC is usually 10+the CR of the creature that has influenced the orenth of the area). On a success you learn the creature type of the creature that influenced the area and where the borders of the area are. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Ocean Sense,Ingens,Oceanic,,"While in a body of water, you are aware of any creature in that same body of water within 300 feet of you. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Shield of Durelem,Ingens,Oceanic,,"As an action you may summon a spectral tortoise shield around you. Your AC increases by an amount equal to your proficiency bonus. Each time you get hit your AC is reduced by 1, until the shield dissapears or an hour passes. Uses: Wisdom/Long rest",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Blinding Breath,Other,,Dragonborn whose breath deals radiant damage,"Additional Breath Weapon* You gain an additional use of your breath weapon.
Blinding Breath* Once per long rest any creature that fails its saving throw against your breath becomes blinded for 1 minute. They may repeat the saving throw at the end of their turns, ending the effect on a success. ",,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Spell Empowered Breath,Gem,,Gem Dragonborn,Whenever you use your breath weapon you may spend a first level spellslot to enhance its power. Whenever you do so you may roll 2d8 in place of every d10 you would normally roll for its damage. ,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dividing Breath,Metallic,Bronze,Bronze Dragonborn,"Additional Breath Weapon* You gain an additional use of your breath weapon. 
Dividing Breath* You may spend a use of your breath to create a 60 foot long, 15 foot wide line. Any creature in this line must make a Dexterity saving throw, on a failure they are pushed 30 feet in a direction of your choice perpendicular to the line. ",,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bronze Kobold's Protection,Metallic,Bronze,Bronze Kobold,"While standing within 5 feet of an ally, no attacks against them can have advantage.",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gold Kobold's Holy Fire,Metallic,Gold,Gold Kobold,"Whenever a creature takes fire or radiant damage within 60 feet of you, and they are resistant or immune to this damage, you may use your reaction to change the damage type to the other type. ",,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Improved Elemental Spellcasting,Other,Chaos,Genasi,Depending on your race you gain access to additional spells. You may traitcast these spells using the same spellcasting ability as your other racial spells. If you have the Elemental Chaos or Mark of Tiamat Orenth Trait you may also choose the Chaos option. {@table Improved Elemental Spellcasting|oreorenth},,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Forge Breath,Chromatic,,Dragonborn,"Additional Breath Weapon* You gain an additional use of your breath weapon. 
Elemental Weapon* You may use your breath to create an elemental weapon. This weapon has the properties of a weapon of your choice, but you may use your Wisdom modifier for the attack and damage rolls, and deals your breath weapons damage type instead of your own. Once on each of your turns you may deal an additional 1d10 damage when you hit with the weapon. The weapon lasts for 1 minute or until you lose concentration. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bronze Kobold Cannon Fodder,Metallic,Bronze,Bronze Kobold,"While standing in front of a creature one size bigger than you, you give them half cover. While you give them half cover in this way their AC increases by 4 instead of 2. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
It's the same size as you,Metallic,Brass,{@optfeature Little Guys Friend|otherorenth},The CR of the creature you can find increases to 1. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Lampad,Fey,Treant,Dryad,"You gain resistance against necrotic damage. Additionally, you may cast the misty step spell whenever you are within 5 feet of a creature that died within the last minute or is currently dying. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tree Canopy,Metallic,Treant,Awakened Plant,Creatures a size smaller than you may conceal themselves in your canopy. They gain half cover and advantage on Dexterity (Stealth) checks while they sit in your canopy. It takes 15 feet of movement to enter or exit your canopy. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Psionic Ward,Gem,,Earth Genasi,"Additional Blade Ward* You gain an additional use of your bonus action Blade Ward cantrip. 
Psionic Resistance* Whenever you use it you also become resistant to force, psychic, thunder, radiant and necrotic damage. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Medium Infernal Wings,Cosmic,Sun,Tiefling,As a bonus action you may gain a 30 foot flying speed. If you don't use a bonus action to sustain your flight at the start of your next turn you fall. You cannot fly while wearing medium or heavy armour. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Fiendish Dealmaker,Cosmic,Sun,Tiefling,You may cast Geas using your Charisma as your Spellcasting ability at will on willing creatures. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Rambling Words,Metallic,Brass,,"You are so good at talking, it hurts your enemies. If you spend 10 minutes talking at someone they subtract your Charisma modifier from any Wisdom saving throw they make in the next hour.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Friend of the natural and unnatural,Ingens,,,"You learn the Animal Friendship spell and may cast a number of times equal to your Wisdom modifier, using your Wisdom modifier as spellcasting ability. Whenever you do so in this way you may target any creature with an intelligence lower than 4. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
